因子名称,参数区间,胜率,最大回撤,年化收益率,年化收益标准差,年化夏普比率,因子方向,综合得分,胜率得分,收益率得分,夏普得分,风险得分,回撤得分
信号发出时上市天数,"[28.000, 991.000]",0.47058823529411764,-0.311504031319485,1.9300235294117647,1.4152848892173828,21.648061060626638,正向,6.500000000000001,4,8,10,6,2
信号发出时上市天数,"[993.000, 1403.000]",0.5176470588235295,-0.355450997530489,3.281929411764706,1.1668983926732992,44.64742996571581,正向,7.6000000000000005,6,10,10,6,2
信号发出时上市天数,"[1407.000, 1735.000]",0.4470588235294118,-0.5866585143591154,-0.46842352941176457,1.1626877988725342,-6.3955199406571595,负向,3.0000000000000004,4,2,2,6,2
信号发出时上市天数,"[1736.000, 2184.000]",0.38823529411764707,-0.7533128742131883,-0.9249882352941173,1.2692219385953605,-11.569082262904145,负向,2.4000000000000004,2,2,2,6,2
信号发出时上市天数,"[2186.000, 2613.000]",0.49411764705882355,-0.557788335216785,3.963811764705883,1.7465727380821459,36.02687690453552,正向,7.000000000000001,4,10,10,6,2
信号发出时上市天数,"[2616.000, 3019.000]",0.4880952380952381,-0.4374899144064648,0.8580000000000002,1.3123929216217571,10.378239264297108,正向,6.000000000000001,4,6,10,6,2
信号发出时上市天数,"[3022.000, 3646.000]",0.5411764705882353,-0.4584629338804955,3.1870588235294113,1.5757183235889964,32.10788984767428,正向,7.6000000000000005,6,10,10,6,2
信号发出时上市天数,"[3647.000, 4162.000]",0.5647058823529412,-0.46485759018135514,5.428376470588235,1.414222513484727,60.932989089341504,正向,7.6000000000000005,6,10,10,6,2
信号发出时上市天数,"[4168.000, 4807.000]",0.49411764705882355,-0.38236258968220865,5.505458823529412,1.8093764216696646,48.301972080271874,正向,7.000000000000001,4,10,10,6,2
信号发出时上市天数,"[4829.000, 5600.000]",0.5647058823529412,-0.45833315623183374,5.232705882352941,1.3060252227093248,63.60262363048699,正向,7.6000000000000005,6,10,10,6,2
日最大跌幅百分比,"[-0.203, -0.200]",0.5298804780876494,-0.7423821252150892,4.868318725099603,1.6916269169080895,45.68511125309457,正向,7.6000000000000005,6,10,10,6,2
日最大跌幅百分比,"[-0.199, -0.199]",0.6153846153846154,-0.3024733280500001,3.1306153846153846,1.2555133966751486,39.58299344421044,正向,8.2,8,10,10,6,2
日最大跌幅百分比,"[-0.198, -0.191]",0.6056338028169014,-0.43959991773506296,3.265352112676057,1.3152499168074379,39.41141309860307,正向,8.2,8,10,10,6,2
日最大跌幅百分比,"[-0.190, -0.180]",0.43037974683544306,-0.3358885245590103,3.8820759493670898,1.3637124554498201,45.189911516804635,正向,7.000000000000001,4,10,10,6,2
日最大跌幅百分比,"[-0.179, -0.172]",0.43902439024390244,-0.589635092993001,-0.39951219512195096,1.3262882738552182,-4.7818107188313155,负向,3.0000000000000004,4,2,2,6,2
日最大跌幅百分比,"[-0.171, -0.165]",0.43956043956043955,-0.541822685525429,-0.7310769230769234,1.1174321937783553,-10.385852878533578,负向,3.0000000000000004,4,2,2,6,2
日最大跌幅百分比,"[-0.164, -0.158]",0.45569620253164556,-0.34074228429327896,1.8915949367088614,1.2685425121613632,23.671369634779712,正向,6.500000000000001,4,8,10,6,2
日最大跌幅百分比,"[-0.157, -0.150]",0.4787234042553192,-0.38470988968775993,2.916765957446808,1.4811430003576898,31.26114367398621,正向,7.000000000000001,4,10,10,6,2
日最大跌幅百分比,"[-0.149, -0.140]",0.5131578947368421,-0.42202942042927644,2.79521052631579,1.2887915245237342,34.42961149562721,正向,7.6000000000000005,6,10,10,6,2
信号当日收盘涨跌幅,"[-0.202, -0.200]",0.5182926829268293,-0.6248140533290036,4.826414634146341,1.7132656787839586,44.71983418858027,正向,7.6000000000000005,6,10,10,6,2
信号当日收盘涨跌幅,"[-0.199, -0.199]",0.8461538461538461,-0.14415199999999997,13.95692307692308,1.0870954950622396,203.80848433420869,正向,9.0,10,10,10,6,4
信号当日收盘涨跌幅,"[-0.198, -0.178]",0.5189873417721519,-0.4899836647840004,3.4897215189873427,1.4231843883736968,38.925111993373186,正向,7.6000000000000005,6,10,10,6,2
信号当日收盘涨跌幅,"[-0.177, -0.166]",0.42857142857142855,-0.6584268531476924,0.4474285714285721,1.465002457436352,4.848256970994187,正向,5.500000000000001,4,4,10,6,2
信号当日收盘涨跌幅,"[-0.165, -0.160]",0.5,-0.5518163261473157,0.23497297297297318,1.2961268269631223,2.8778667567491523,正向,5.6000000000000005,6,4,8,6,2
信号当日收盘涨跌幅,"[-0.159, -0.154]",0.4431818181818182,-0.49594318899512135,-0.5269090909090909,1.1650938530952673,-7.1791834505743735,负向,3.0000000000000004,4,2,2,6,2
信号当日收盘涨跌幅,"[-0.153, -0.150]",0.5121951219512195,-0.2633731354286928,3.229902439024391,1.3061621122259803,39.254784070085016,正向,7.6000000000000005,6,10,10,6,2
信号当日收盘涨跌幅,"[-0.149, -0.146]",0.5054945054945055,-0.38905971207462986,4.189846153846154,1.2957455115759542,51.33087101902384,正向,7.6000000000000005,6,10,10,6,2
信号当日收盘涨跌幅,"[-0.145, -0.143]",0.5058823529411764,-0.5164180457998649,0.04447058823529438,1.0530104742230866,0.670409953219993,正向,4.6000000000000005,6,4,4,6,2
信号当日收盘涨跌幅,"[-0.142, -0.140]",0.48,-0.35529405473308423,6.202559999999999,1.788849857884684,55.04239893457172,正向,7.000000000000001,4,10,10,6,2
信号后一日开盘涨跌幅,"[-0.201, -0.063]",0.5176470588235295,-0.3851189634960886,7.091576470588233,1.9139391102245282,58.818635277396716,正向,7.6000000000000005,6,10,10,6,2
信号后一日开盘涨跌幅,"[-0.062, -0.039]",0.43529411764705883,-0.8847035792215712,-3.2463529411764713,1.4315175411388557,-35.999737216477094,负向,3.0000000000000004,4,2,2,6,2
信号后一日开盘涨跌幅,"[-0.038, -0.026]",0.5851063829787234,-0.34830501334764535,6.034595744680853,1.4782035921977303,64.8058482099744,正向,7.6000000000000005,6,10,10,6,2
信号后一日开盘涨跌幅,"[-0.025, -0.018]",0.5432098765432098,-0.275843909651411,3.957333333333333,1.2913120459439695,48.64875173064362,正向,7.6000000000000005,6,10,10,6,2
信号后一日开盘涨跌幅,"[-0.017, -0.012]",0.4146341463414634,-0.44728884890405746,1.6564390243902434,1.4667636978250633,17.92732828189369,正向,6.500000000000001,4,8,10,6,2
信号后一日开盘涨跌幅,"[-0.011, -0.005]",0.4673913043478261,-0.4951638839254365,1.273695652173913,1.1949339929433922,16.92084397064788,正向,6.500000000000001,4,8,10,6,2
信号后一日开盘涨跌幅,"[-0.004, 0.000]",0.3764705882352941,-0.706103045450955,-0.9457411764705882,1.1789781318133588,-12.734057859374836,负向,2.4000000000000004,2,2,2,6,2
信号后一日开盘涨跌幅,"[0.001, 0.007]",0.43902439024390244,-0.5272468775970375,-0.32882926829268266,1.266112799317741,-4.122857622972856,负向,3.0000000000000004,4,2,2,6,2
信号后一日开盘涨跌幅,"[0.008, 0.020]",0.5476190476190477,-0.5933651693118284,3.552,1.3690621537106673,41.18604242223836,正向,7.6000000000000005,6,10,10,6,2
信号后一日开盘涨跌幅,"[0.021, 0.200]",0.6455696202531646,-0.24292082428138007,9.11346835443038,1.4984897051030754,96.54509109392085,正向,8.2,8,10,10,6,2
次日开盘后总体下跌幅度,"[-0.402, -0.257]",0.5294117647058824,-0.43485426351981515,7.251670588235292,1.9076530761182784,60.34467337826098,正向,7.6000000000000005,6,10,10,6,2
次日开盘后总体下跌幅度,"[-0.256, -0.215]",0.5058823529411764,-0.5969112114835077,1.6394823529411762,1.4809543346020062,17.573786645867457,正向,7.1000000000000005,6,8,10,6,2
次日开盘后总体下跌幅度,"[-0.214, -0.195]",0.4444444444444444,-0.6254589719396508,-0.5292000000000006,1.37660256436806,-6.102552603298937,负向,3.0000000000000004,4,2,2,6,2
次日开盘后总体下跌幅度,"[-0.194, -0.182]",0.5176470588235295,-0.6421855101317938,2.5496470588235303,1.3284647043065296,30.467043769095834,正向,7.6000000000000005,6,10,10,6,2
次日开盘后总体下跌幅度,"[-0.181, -0.172]",0.4942528735632184,-0.22770131564505078,2.9168275862068955,1.5133455876575048,30.596582062798955,正向,7.000000000000001,4,10,10,6,2
次日开盘后总体下跌幅度,"[-0.171, -0.164]",0.4935064935064935,-0.4652582961371284,3.0370909090909084,1.3800203451797541,34.93595126745602,正向,7.000000000000001,4,10,10,6,2
次日开盘后总体下跌幅度,"[-0.163, -0.154]",0.3877551020408163,-0.406823531632692,0.46028571428571463,1.2228609553228116,5.975175804256119,正向,4.8999999999999995,2,4,10,6,2
次日开盘后总体下跌幅度,"[-0.153, -0.146]",0.5128205128205128,-0.3648972909998955,3.912461538461538,1.259071669338751,49.32872606200803,正向,7.6000000000000005,6,10,10,6,2
次日开盘后总体下跌幅度,"[-0.145, -0.135]",0.5308641975308642,-0.52829372611903,2.5511111111111107,1.3500925564979283,29.996190414093395,正向,7.6000000000000005,6,10,10,6,2
次日开盘后总体下跌幅度,"[-0.134, 0.000]",0.5783132530120482,-0.4858511465926153,4.930698795180722,1.4232644422740937,54.99499213640171,正向,7.6000000000000005,6,10,10,6,2
前10日最大涨幅,"[0.028, 0.100]",0.38823529411764707,-0.8118841305888358,-4.473741176470589,0.9203072504843792,-77.16818427833266,负向,2.6000000000000005,2,2,2,8,2
前10日最大涨幅,"[0.101, 0.144]",0.4470588235294118,-0.6596910472892958,-0.4536,0.8560705578397146,-8.411312247864505,负向,3.2,4,2,2,8,2
前10日最大涨幅,"[0.145, 0.183]",0.5581395348837209,-0.2900010028419999,2.3793488372093017,1.090414970896461,34.63909872963915,正向,7.6000000000000005,6,10,10,6,2
前10日最大涨幅,"[0.184, 0.219]",0.611764705882353,-0.3210644959385441,4.977741176470588,1.393892906680466,56.689571403951334,正向,8.2,8,10,10,6,2
前10日最大涨幅,"[0.220, 0.276]",0.47058823529411764,-0.7389367680791659,-1.6750588235294113,1.2934203629501575,-20.558462841986497,负向,3.0000000000000004,4,2,2,6,2
前10日最大涨幅,"[0.277, 0.358]",0.47058823529411764,-0.4372164242447549,1.6720941176470592,1.240118979111658,21.404132725186393,正向,6.500000000000001,4,8,10,6,2
前10日最大涨幅,"[0.359, 0.501]",0.4819277108433735,-0.42482804083062187,3.367084337349398,1.5069011145874414,35.47067971654998,正向,7.000000000000001,4,10,10,6,2
前10日最大涨幅,"[0.502, 0.684]",0.43529411764705883,-0.4424912900352093,5.529176470588236,1.578266808130697,55.61350902446993,正向,7.000000000000001,4,10,10,6,2
前10日最大涨幅,"[0.688, 0.938]",0.47058823529411764,-0.458058251843211,2.090117647058824,1.6899345967156452,19.63365274277159,正向,7.000000000000001,4,10,10,6,2
前10日最大涨幅,"[0.939, 4.974]",0.6352941176470588,-0.28251993075546505,14.621929411764707,2.071692027986672,112.0417177520343,正向,8.0,8,10,10,4,2
当日回调,"[0.000, 0.068]",0.4827586206896552,-0.384080931650471,0.20855172413793113,1.0193523723529818,3.2478032868401048,正向,5.500000000000001,4,4,10,6,2
当日回调,"[0.069, 0.093]",0.39285714285714285,-0.7690767334457266,-2.43,0.9716320142339574,-39.70130002945058,负向,2.6000000000000005,2,2,2,8,2
当日回调,"[0.094, 0.108]",0.4880952380952381,-0.4425066550480812,2.3190000000000004,1.5080063316795267,24.411690434451053,正向,7.000000000000001,4,10,10,6,2
当日回调,"[0.109, 0.123]",0.4631578947368421,-0.6917199976001965,-0.9469894736842106,1.2037613425280103,-12.488349075752447,负向,3.0000000000000004,4,2,2,6,2
当日回调,"[0.124, 0.136]",0.5238095238095238,-0.336292,2.6640000000000006,1.3870199658051678,30.489603609640312,正向,7.6000000000000005,6,10,10,6,2
当日回调,"[0.137, 0.144]",0.524390243902439,-0.3965958926889517,3.995121951219513,1.3930318186231345,45.52702529400678,正向,7.6000000000000005,6,10,10,6,2
当日回调,"[0.145, 0.153]",0.5975609756097561,-0.2136921829382159,8.73087804878049,1.470236746969998,94.26943827344324,正向,7.6000000000000005,6,10,10,6,2
当日回调,"[0.154, 0.165]",0.5301204819277109,-0.539827333201868,7.177445783132529,1.6335198796399633,69.75024973067367,正向,7.6000000000000005,6,10,10,6,2
当日回调,"[0.166, 0.187]",0.5176470588235295,-0.49250793794986214,4.171341176470588,1.5693020854169915,42.19581999833597,正向,7.6000000000000005,6,10,10,6,2
