分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[28.000, 991.000]",0.008,0.089,0.471,-0.312,1.93,1.415,85,21.648,3.081
2,"[993.000, 1403.000]",0.013,0.074,0.518,-0.355,3.282,1.167,85,44.647,7.627
3,"[1407.000, 1735.000]",-0.002,0.073,0.447,-0.587,-0.468,1.163,85,-6.396,-0.754
4,"[1736.000, 2184.000]",-0.004,0.08,0.388,-0.753,-0.925,1.269,85,-11.569,-1.314
5,"[2186.000, 2613.000]",0.016,0.11,0.494,-0.558,3.964,1.747,85,36.027,5.785
6,"[2616.000, 3019.000]",0.003,0.083,0.488,-0.437,0.858,1.312,84,10.378,1.245
7,"[3022.000, 3646.000]",0.013,0.099,0.541,-0.458,3.187,1.576,85,32.108,4.64
8,"[3647.000, 4162.000]",0.022,0.089,0.565,-0.465,5.428,1.414,85,60.933,9.688
9,"[4168.000, 4807.000]",0.022,0.114,0.494,-0.382,5.505,1.809,85,48.302,9.742
10,"[4829.000, 5600.000]",0.021,0.082,0.565,-0.458,5.233,1.306,85,63.603,7.964
