分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[-0.201, -0.063]",0.028,0.121,0.518,-0.385,7.092,1.914,85,58.819,12.145
2,"[-0.062, -0.039]",-0.013,0.09,0.435,-0.885,-3.246,1.432,85,-36.0,-4.373
3,"[-0.038, -0.026]",0.024,0.093,0.585,-0.348,6.035,1.478,94,64.806,9.738
4,"[-0.025, -0.018]",0.016,0.081,0.543,-0.276,3.957,1.291,81,48.649,6.877
5,"[-0.017, -0.012]",0.007,0.092,0.415,-0.447,1.656,1.467,82,17.927,2.656
6,"[-0.011, -0.005]",0.005,0.075,0.467,-0.495,1.274,1.195,92,16.921,2.384
7,"[-0.004, 0.000]",-0.004,0.074,0.376,-0.706,-0.946,1.179,85,-12.734,-1.972
8,"[0.001, 0.007]",-0.001,0.08,0.439,-0.527,-0.329,1.266,82,-4.123,-0.494
9,"[0.008, 0.020]",0.014,0.086,0.548,-0.593,3.552,1.369,84,41.186,5.084
10,"[0.021, 0.200]",0.036,0.094,0.646,-0.243,9.113,1.498,79,96.545,12.521
