分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[-0.202, -0.200]",0.019,0.108,0.518,-0.625,4.826,1.713,164,44.72,6.569
2,"[-0.199, -0.199]",0.055,0.068,0.846,-0.144,13.957,1.087,13,203.808,10.537
3,"[-0.198, -0.178]",0.014,0.09,0.519,-0.49,3.49,1.423,79,38.925,5.911
4,"[-0.177, -0.166]",0.002,0.092,0.429,-0.658,0.447,1.465,98,4.848,0.716
5,"[-0.165, -0.160]",0.001,0.082,0.5,-0.552,0.235,1.296,74,2.878,0.395
6,"[-0.159, -0.154]",-0.002,0.073,0.443,-0.496,-0.527,1.165,88,-7.179,-0.956
7,"[-0.153, -0.150]",0.013,0.082,0.512,-0.263,3.23,1.306,82,39.255,5.164
8,"[-0.149, -0.146]",0.017,0.082,0.505,-0.389,4.19,1.296,91,51.331,6.285
9,"[-0.145, -0.143]",0.0,0.066,0.506,-0.516,0.044,1.053,85,0.67,0.086
10,"[-0.142, -0.140]",0.025,0.113,0.48,-0.355,6.203,1.789,75,55.042,9.972
