分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[0.028, 0.100]",-0.018,0.058,0.388,-0.812,-4.474,0.92,85,-77.168,-6.268
2,"[0.101, 0.144]",-0.002,0.054,0.447,-0.66,-0.454,0.856,85,-8.411,-1.157
3,"[0.145, 0.183]",0.009,0.069,0.558,-0.29,2.379,1.09,86,34.639,4.21
4,"[0.184, 0.219]",0.02,0.088,0.612,-0.321,4.978,1.394,85,56.69,6.19
5,"[0.220, 0.276]",-0.007,0.081,0.471,-0.739,-1.675,1.293,85,-20.558,-2.28
6,"[0.277, 0.358]",0.007,0.078,0.471,-0.437,1.672,1.24,85,21.404,3.033
7,"[0.359, 0.501]",0.013,0.095,0.482,-0.425,3.367,1.507,83,35.471,4.818
8,"[0.502, 0.684]",0.022,0.099,0.435,-0.442,5.529,1.578,85,55.614,13.117
9,"[0.688, 0.938]",0.008,0.106,0.471,-0.458,2.09,1.69,85,19.634,2.911
10,"[0.939, 4.974]",0.058,0.131,0.635,-0.283,14.622,2.072,85,112.042,32.452
