分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[0.000, 0.068]",0.001,0.064,0.483,-0.384,0.209,1.019,87,3.248,0.405
2,"[0.069, 0.093]",-0.01,0.061,0.393,-0.769,-2.43,0.972,84,-39.701,-4.996
3,"[0.094, 0.108]",0.009,0.095,0.488,-0.443,2.319,1.508,84,24.412,4.307
4,"[0.109, 0.123]",-0.004,0.076,0.463,-0.692,-0.947,1.204,95,-12.488,-1.639
5,"[0.124, 0.136]",0.011,0.087,0.524,-0.336,2.664,1.387,84,30.49,3.347
6,"[0.137, 0.144]",0.016,0.088,0.524,-0.397,3.995,1.393,82,45.527,8.251
7,"[0.145, 0.153]",0.035,0.093,0.598,-0.214,8.731,1.47,82,94.269,17.593
8,"[0.154, 0.165]",0.028,0.103,0.53,-0.54,7.177,1.634,83,69.75,10.235
9,"[0.166, 0.187]",0.017,0.099,0.518,-0.493,4.171,1.569,85,42.196,5.093
10,"[0.188, 0.288]",0.012,0.12,0.458,-0.61,2.918,1.902,83,24.348,3.881
