分组,参数区间,平均收益,收益标准差,胜率,最大回撤,年化收益率,年化收益标准差,样本数量,年化夏普比率,年化索提诺比率
1,"[-0.402, -0.257]",0.029,0.12,0.529,-0.435,7.252,1.908,85,60.345,12.381
2,"[-0.256, -0.215]",0.007,0.093,0.506,-0.597,1.639,1.481,85,17.574,2.106
3,"[-0.214, -0.195]",-0.002,0.087,0.444,-0.625,-0.529,1.377,90,-6.103,-0.702
4,"[-0.194, -0.182]",0.01,0.084,0.518,-0.642,2.55,1.328,85,30.467,4.845
5,"[-0.181, -0.172]",0.012,0.095,0.494,-0.228,2.917,1.513,87,30.597,5.119
6,"[-0.171, -0.164]",0.012,0.087,0.494,-0.465,3.037,1.38,77,34.936,5.438
7,"[-0.163, -0.154]",0.002,0.077,0.388,-0.407,0.46,1.223,98,5.975,0.948
8,"[-0.153, -0.146]",0.016,0.079,0.513,-0.365,3.912,1.259,78,49.329,8.643
9,"[-0.145, -0.135]",0.01,0.085,0.531,-0.528,2.551,1.35,81,29.996,3.619
10,"[-0.134, 0.000]",0.02,0.09,0.578,-0.486,4.931,1.423,83,54.995,6.315
